City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Ugoofaaru,5.6667,73.0,83.16,73,49,20.58,MV,scattered clouds
80,Husavik,66.0449,-17.3389,53.51,66,26,13.6,IS,scattered clouds
81,Cape Town,-33.9258,18.4232,59.11,94,75,1.01,ZA,light rain
82,Airai,-8.9266,125.4092,59.59,89,90,3.58,TL,overcast clouds
83,Sao Joao Da Barra,-21.6403,-41.0511,74.41,89,35,14.18,BR,scattered clouds
84,Mahajanga,-15.7167,46.3167,69.82,94,20,3.44,MG,few clouds
85,Ambon,-3.6954,128.1814,75.34,100,40,10.29,ID,light rain
86,Wajid,3.8093,43.2471,72.77,77,65,14.36,SO,broken clouds
87,Constitucion,-35.3333,-72.4167,53.17,79,61,5.41,CL,broken clouds
88,Beringovskiy,63.05,179.3167,32.79,88,19,12.75,RU,few clouds
89,Bethel,41.3712,-73.414,52.72,89,100,1.99,US,moderate rain
90,Kapaa,22.0752,-159.319,82.72,69,20,1.01,US,few clouds
91,Avera,33.194,-82.5271,88.48,45,94,7.7,US,overcast clouds
92,Chicama,-7.8447,-79.1469,63.14,83,54,6.73,PE,broken clouds
93,Kayerkan,69.3497,87.7602,30.43,99,100,9.48,RU,light snow
94,Hermanus,-34.4187,19.2345,57.9,86,2,13.82,ZA,light rain
95,Port Elizabeth,-33.918,25.5701,62.89,67,0,19.57,ZA,clear sky
96,Sioux Lookout,50.1001,-91.917,62.98,22,1,9.22,CA,clear sky
97,Saskylakh,71.9167,114.0833,37.47,69,39,10.18,RU,scattered clouds
98,Iralaya,15.0,-83.2333,84.29,73,2,8.84,HN,clear sky
99,Ous,60.9058,61.5186,50.7,81,100,7.25,RU,overcast clouds
100,Bluff,-46.6,168.3333,49.8,79,100,24.27,NZ,overcast clouds
101,East London,-33.0153,27.9116,63.48,64,1,14.0,ZA,clear sky
102,Clearwater,27.9659,-82.8001,85.15,72,40,7.0,US,scattered clouds
103,Avarua,-21.2078,-159.775,80.65,61,40,12.66,CK,scattered clouds
104,Namibe,-15.1961,12.1522,73.99,62,0,1.9,AO,clear sky
105,Georgetown,5.4112,100.3354,79.9,91,20,4.09,MY,few clouds
106,Chokurdakh,70.6333,147.9167,52.34,42,86,14.58,RU,overcast clouds
107,Nizhniy Tsasuchey,50.5167,115.1333,56.14,47,6,5.32,RU,clear sky
108,Narrabri,-30.3167,149.7833,49.51,57,60,8.05,AU,broken clouds
109,Budisov Nad Budisovkou,49.7951,17.6297,50.94,81,100,7.0,CZ,overcast clouds
110,Kedrovyy,56.1667,91.8167,36.01,86,99,7.87,RU,overcast clouds
111,Yulara,-25.2406,130.9889,46.24,71,0,8.05,AU,clear sky
112,Half Moon Bay,37.4636,-122.4286,84.02,67,75,8.05,US,broken clouds
113,Iqaluit,63.7506,-68.5145,26.33,80,75,18.41,CA,broken clouds
114,Esperance,-33.8667,121.9,60.64,73,100,15.01,AU,light rain
115,Atuona,-9.8,-139.0333,79.14,75,13,14.45,PF,few clouds
