City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
520,Itoman,JP,82.78,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
523,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
525,Carauari,BR,77.09,broken clouds,-4.8828,-66.8958,Hotel Fellip
526,Bandarbeyla,SO,79.9,scattered clouds,9.4942,50.8122,JABIR HOTEL
528,Xingtai,CN,81.19,moderate rain,37.0631,114.4942,Xingzhou Hotel
533,Gushikawa,JP,81.99,overcast clouds,26.3544,127.8686,Kirari Guest House
535,Aden,YE,89.15,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
536,Tamiahua,MX,85.91,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
538,Phulabani,IN,77.5,scattered clouds,20.4667,84.2333,Hotel Raj Kamal
539,Namatanai,PG,80.98,overcast clouds,-3.6667,152.4333,Namatanai Hotel
548,Shieli,KZ,78.91,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
549,Dicabisagan,PH,84.02,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
552,Soc Trang,VN,78.76,scattered clouds,9.6033,105.98,Phu Quy Hotel
563,Harper,LR,79.79,light rain,4.375,-7.7169,Screensaver
564,Makakilo City,US,83.95,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
566,Sabang,ID,83.52,overcast clouds,5.8933,95.3214,Hotel Citra
567,Chauk,MM,84.22,few clouds,20.8833,94.8167,Bo Khin Guest House
569,Aripuana,BR,76.98,overcast clouds,-9.1667,-60.6333,
571,Nizwa,OM,85.44,clear sky,22.9333,57.5333,Orient Apartments
572,Sawakin,SD,83.75,few clouds,19.1059,37.3321,فندق الدويم
583,Ha Tinh,VN,78.94,overcast clouds,18.3333,105.9,Phú Quý
588,Maragogi,BR,77.32,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
590,Ternate,ID,82.0,few clouds,0.8,127.4,Grand Dafam Bela Ternate
591,Moa,CU,79.43,light rain,20.6569,-74.9403,Carmen
592,Yola,NG,85.24,scattered clouds,9.2,12.4833,Muna Hotel
593,Leona Vicario,MX,85.98,broken clouds,20.9667,-87.1917,Don Ros Cabañas y Restaurante
595,Pyapon,MM,81.7,light rain,16.2833,95.6833,Aung Naing Thu Motel
598,San Antonio,US,89.1,scattered clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
599,Myrtle Beach,US,88.05,clear sky,33.6891,-78.8867,Bay View Resort Myrtle Beach
602,Muisne,EC,76.73,overcast clouds,0.6,-80.0333,Quinta Samay
603,Grants Pass,US,82.62,clear sky,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
604,Tual,ID,81.03,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
605,Simbahan,PH,83.08,overcast clouds,6.3032,120.5836,
606,Conceicao Do Araguaia,BR,80.73,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
608,Dano,BF,87.71,overcast clouds,11.15,-3.0667,Auberge Phenix32-Dano
615,Abu Zabad,SD,87.21,scattered clouds,12.35,29.25,حامد محمد نور
619,Luwuk,ID,79.21,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
621,Lamani,HN,85.82,overcast clouds,14.2,-87.6167,Texas Hotel
623,Guiratinga,BR,75.88,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
624,Colonial Heights,US,89.73,light rain,37.268,-77.4073,Hilton Garden Inn Richmond South/Southpark
625,Makaha,US,85.33,broken clouds,21.4694,-158.2175,Hawaiian Princess Resort
627,Kapoeta,SS,77.38,scattered clouds,4.7717,33.5903,Eastgate Hotel
629,Ati,TD,89.53,broken clouds,13.2154,18.3353,
630,Nabire,ID,79.7,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
633,Tanza,PH,88.16,few clouds,14.6753,120.9389,Seaview Guest House
635,San Jose De Guanipa,VE,82.92,broken clouds,8.8872,-64.1651,HOTEL 283 SUITES
639,Kuching,MY,75.42,broken clouds,1.55,110.3333,The Ranee Boutique Suites
640,Rewa,IN,77.7,scattered clouds,24.5333,81.3,OYO 71149 Jeet Residency
641,Mana,GF,77.22,broken clouds,5.6592,-53.7767,LE SAMANA
645,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
646,Zhanakorgan,KZ,80.78,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
648,Mecca,SA,88.09,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
649,Dalbandin,PK,81.41,clear sky,28.8947,64.4101,Sanjrani House
661,San Policarpo,PH,80.87,broken clouds,12.1791,125.5072,JM Lodge
663,Trang,TH,75.15,few clouds,7.5,99.5,Jelly's Home
664,Fortuna,US,84.18,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
665,Savelugu,GH,87.19,broken clouds,9.6244,-0.8253,Yoo Naa's Palace
666,Summerville,US,89.11,few clouds,33.0185,-80.1757,Sleep Inn Summerville-Charleston
669,Yarada,IN,86.32,scattered clouds,17.65,83.2667,Jeevan
672,Arlit,NE,84.92,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
677,Sao Miguel Do Araguaia,BR,79.34,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
678,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
680,Najran,SA,75.85,few clouds,17.4924,44.1277,محمد هادي ال فطيح
682,Bairiki,KI,86.0,moderate rain,1.3292,172.9752,Tarawa Boutique Hotel
683,Malkangiri,IN,83.21,scattered clouds,18.35,81.9,Girls' Hostel
684,Chavakkad,IN,79.97,overcast clouds,10.5333,76.05,Rajah Island
